Rut Proveedor,Nombre Empresa,Nro Licitación Pública,CodigoOC,Proviene de Gran Compra,IDProductoCM,Producto,Tipo de Producto,Marca,Modelo,Cantidad,Rut Unidad de Compra,Unidad de Compra,Fecha Envío OC,Región Unidad de Compra,Institución,Sector,year,month
96.889.440-4,Mediterraneo Automotores S.A.,2239-4-LR17,584146-472-CM18,No,1536892,SEDÁN HYUNDAI GRAND I-10 BA SDN  MT GLS 2AB AC ABS PE AÑO 2018,SEDÁN,HYUNDAI,GRAND I-10 BA SDN  MT GLS 2AB AC ABS PE,1,69.210.500-1,DEPARTAMENTO DE SALUD MUNICIPAL,2018-08-28,Los Lagos,ILUSTRE MUNICIPALIDAD DE PURRANQUE,Municipalidades,2018,8
96.889.440-4,Mediterraneo Automotores S.A.,2239-4-LR17,2927-319-CM18,Sí,1537065,SUV TOYOTA RAV4 SUPER LUJO 2.5 4X4 AT AÑO 2018,SUV,TOYOTA,RAV4 SUPER LUJO 2.5 4X4 AT,1,69.230.700-3,ADQUISICIONES,2018-08-28,Los Lagos,Ilustre Municipalidad De Quellón,Municipalidades,2018,8
96.889.440-4,Mediterraneo Automotores S.A.,2239-4-LR17,1658-2742-CM18,No,1538931,FURGÓN CITROEN BERLINGO C HDI 92 BVM AÑO 2018,FURGÓN,CITROEN,BERLINGO C HDI 92 BVM,1,69.190.700-7,Municipalidad de Temuco,2018-08-28,Araucania,I MUNICIPALIDAD DE TEMUCO,Municipalidades,2018,8
96.918.300-5,DIFOR CHILE SOCIEDAD ANONIMA,2239-4-LR17,2785-1248-CM18,No,1538508,CAMIONETA NISSAN NP300 DC SE 2.3D MT AÑO 2018,CAMIONETA,NISSAN,NP300 DC SE 2.3D MT,1,69.264.800-5,MUNICIPALIDAD DE SAN PEDRO DE LA PAZ,2018-08-29,Biobio,I MUNICIPALIDAD DE SAN PEDRO DE LA PAZ,Municipalidades,2018,8
91.502.000-3,SALINAS Y FABRES SOCIEDAD ANONIMA,2239-4-LR17,998782-100-CM18,No,1537045,CAMIONETA TOYOTA HILUX 2.4 4X2 MT DX (WIDE) AÑO 2018,CAMIONETA,TOYOTA,HILUX 2.4 4X2 MT DX (WIDE),1,69.080.800-5,Administracion Municipal,2018-08-30,Ohiggins,Ilustre Municipalidad de Las Cabras,Municipalidades,2018,8
81.318.700-0,POMPEYO CARRASCO Y CIA LTDA,2239-4-LR17,2770-312-CM18,No,1538510,CAMIONETA NISSAN NP300 DC SE 2.3D MT 4WD AÑO 2018,CAMIONETA,NISSAN,NP300 DC SE 2.3D MT 4WD,1,69.070.900-7,Unidades de Licitaciones- SECPLA,2018-08-30,Metropolitana,ILUSTRE MUNICIPALIDAD DE MAIPU,Municipalidades,2018,8
79.853.470-K,AUTOMOTRIZ CORDILLERA S.A.,2239-4-LR17,229-578-CM18,No,1538510,CAMIONETA NISSAN NP300 DC SE 2.3D MT 4WD AÑO 2018,CAMIONETA,NISSAN,NP300 DC SE 2.3D MT 4WD,1,69.141.100-1,Departamento de Administración y Finanzas,2018-08-30,Nuble,I MUNICIPALIDAD DE COIHUECO,Municipalidades,2018,8
80.522.900-4,KOVACS SPA,2239-4-LR17,2318-631-CM18,No,1538481,CAMIONETA CHEVROLET NEW DMAX CC 2.5TD 4WD AÑO 2018,CAMIONETA,CHEVROLET,NEW DMAX CC 2.5TD 4WD,1,69.130.100-1,IMUNI_SAN JAVIER DEPTO. ADQUISICIONES,2018-08-31,Maule,ILUSTRE MUNICIPALIDAD DE SAN JAVIER,Municipalidades,2018,8
79.802.860-k,AUTOMOTRIZ PORTILLO S.A.,2239-4-LR17,229-583-CM18,No,1538497,FURGÓN PEUGEOT PARTNER MAXI NUEVA MAXI 1.6 HDI 90HP NAV AÑO 2018,FURGÓN,PEUGEOT,PARTNER MAXI NUEVA MAXI 1.6 HDI 90HP NAV,1,69.141.100-1,Departamento de Administración y Finanzas,2018-08-31,Nuble,I MUNICIPALIDAD DE COIHUECO,Municipalidades,2018,8
96.889.440-4,Mediterraneo Automotores S.A.,2239-4-LR17,3442-348-CM18,No,1537103,SEDÁN VOLKSWAGEN VOYAGE TRENDLINE 1.6 AÑO 2018,SEDÁN,VOLKSWAGEN,VOYAGE TRENDLINE 1.6,1,69.100.700-6,Administración y Finanzas,2018-08-31,Maule,I MUNICIPALIDAD DE VICHUQUEN,Municipalidades,2018,8
92.909.000-4,CURIFOR S.A.,2239-4-LR17,2598-240-CM18,No,1536813,CAMIONETA FORD RANGER XL 4X4 DIESEL AÑO 2018,CAMIONETA,FORD,RANGER XL 4X4 DIESEL,1,73.568.600-3,DEPARTAMENTO DE SALUD,2018-08-31,Valparaiso,I MUNICIPALIDAD DE CONCON,Municipalidades,2018,8
76.245.828-4,PORSCHE CHILE SPA.,2239-4-LR17,5890-353-CM18,Sí,1537083,HATCHBACK VOLKSWAGEN GOL POWER 1.6 2AB AA AÑO 2018,SEDÁN,VOLKSWAGEN,GOL POWER 1.6 2AB AA,14,60.506.000-5,JENANCO,2018-09-04,Metropolitana,Policía de Investigaciones de Chile,FFAA,2018,9
76.245.828-4,PORSCHE CHILE SPA.,2239-4-LR17,5890-353-CM18,Sí,1537078,CAMIONETA VOLKSWAGEN AMAROK TRENDLINE 4MOTION AÑO 2018,CAMIONETA,VOLKSWAGEN,AMAROK TRENDLINE 4MOTION,21,60.506.000-5,JENANCO,2018-09-04,Metropolitana,Policía de Investigaciones de Chile,FFAA,2018,9
96.889.440-4,Mediterraneo Automotores S.A.,2239-4-LR17,891361-15-CM18,Sí,1537029,SUV TOYOTA 4RUNNER 4X2 SR5 CONTROL VOLANTE AÑO 2018,SUV,TOYOTA,4RUNNER 4X2 SR5 CONTROL VOLANTE,13,60.506.000-5,Departamento de Grandes Compras,2018-09-20,Metropolitana,Policía de Investigaciones de Chile,FFAA,2018,9
96.889.440-4,Mediterraneo Automotores S.A.,2239-4-LR17,5420-273-CM18,Sí,1537031,SUV TOYOTA 4RUNNER 4X4 SR5 CONTROL VOLANTE AÑO 2018,SUV,TOYOTA,4RUNNER 4X4 SR5 CONTROL VOLANTE,5,61.978.890-7,Gobierno Regional de Arica y Parinacota,2018-09-11,Arica Y Parinacota,GOBIERNO REGIONAL DE ARICA-PARINACOTA,"Gob. Central, Universidades",2018,9
91.502.000-3,SALINAS Y FABRES SOCIEDAD ANONIMA,2239-4-LR17,5240-313-CM18,Sí,1538628,CAMIONETA TOYOTA HILUX 2.4 4X4 MT DX AÑO 2018,CAMIONETA,TOYOTA,HILUX 2.4 4X4 MT DX,3,61.938.500-4,Direccion de Compras Publicas de Carabineros,2018-09-27,Metropolitana,DIRECCION DE LOGISTICA DE CARABINEROS,FFAA,2018,9
79.649.140-k,AUTOMOTORES GILDEMEISTER SPA,2239-4-LR17,2332-1227-CM18,No,1553520,CAMIONETA MAHINDRA PICK UP REFRESH DC 4X2 MT WORK 2018,CAMIONETA,MAHINDRA,PICK UP REFRESH DC 4X2 MT WORK,1,69.220.100-0,Oficina de Adquisiciones del Departamento de Salud,2018-09-13,Los Lagos,Municipalidad de Puerto Montt,Municipalidades,2018,9
91.502.000-3,SALINAS Y FABRES SOCIEDAD ANONIMA,2239-4-LR17,5350-825-CM18,No,1537046,CAMIONETA TOYOTA HILUX 2.4 4X2 MT SR AÑO 2018,CAMIONETA,TOYOTA,HILUX 2.4 4X2 MT SR,1,69.030.500-3,DEPTO DE SALUD MUNICIPAL,2018-09-10,Atacama,I. MUNICIPALIDAD DE VALLENAR,Municipalidades,2018,9
79.649.140-k,AUTOMOTORES GILDEMEISTER SPA,2239-4-LR17,1725-2084-CM18,No,1536917,SUV HYUNDAI SANTA FE DM  WGN 2.4 6M/T GLS PE AÑO 2018,SUV,HYUNDAI,SANTA FE DM  WGN 2.4 6M/T GLS PE,1,60.901.002-9,Consejo Nacional de la Cultura y las Artes,2018-09-25,Valparaiso,SUBSECRETARÍA DE LAS CULTURAS Y LAS ARTES,"Gob. Central, Universidades",2018,9
94.141.000-6,DERCO S.P.A,2239-4-LR17,4999-269-CM18,No,1538726,SUV SUZUKI NEW S-CROSS 1.6 4WD GLX AÑO 2018,SUV,SUZUKI,NEW S-CROSS 1.6 4WD GLX,1,69.252.500-0,Depto. de Salud,2018-09-03,Antofagasta,Ilustre Municipalidad de San Pedro de Atacama,Municipalidades,2018,9
82.120.600-6,ESTEBAN GUIC Y CIA LTDA,2239-4-LR17,5282-16-CM18,No,1538788,SUV MAZDA ALL NEW CX-5 R 2.0 AWD 6MT AÑO 2018,SUV,MAZDA,ALL NEW CX-5 R 2.0 AWD 6MT,1,69.250.300-7,Secretaria de Planificación Comunal,2018-09-03,Magallanes,Ilustre Municipalidad de Porvenir,Municipalidades,2018,9
81.318.700-0,POMPEYO CARRASCO Y CIA LTDA,2239-4-LR17,750998-202-CM18,No,1537027,SEDÁN NISSAN VERSA SENSE MT AÑO 2018,SEDÁN,NISSAN,VERSA SENSE MT,2,69.255.100-1,Departamento de Licitaciones,2018-09-05,Metropolitana,I. MUNICIPALIDAD DE LO ESPEJO,Municipalidades,2018,9
77.008.670-1,PORTILLO S.A.,2239-4-LR17,885-1697-CM18,No,1537062,SUV TOYOTA RAV4 LUJO 2.0 4X4 MT AÑO 2018,SUV,TOYOTA,RAV4 LUJO 2.0 4X4 MT,1,60.400.000-9,Contraloría General de la República,2018-09-13,Metropolitana,Contraloría General de la República,"Gob. Central, Universidades",2018,9
96.889.440-4,Mediterraneo Automotores S.A.,2239-4-LR17,3656-900-CM18,No,1537055,SEDÁN TOYOTA NUEVO YARIS SEDAN GLI MT      AÑO 2018,SEDÁN,TOYOTA,NUEVO YARIS SEDAN GLI MT,1,69.081.300-9,Ilustre Municipalidad de Requínoa,2018-09-07,Ohiggins,I MUNICIPALIDAD DE REQUINOA,Municipalidades,2018,9
77.008.670-1,PORTILLO S.A.,2239-4-LR17,3052-31-CM18,No,1538628,CAMIONETA TOYOTA HILUX 2.4 4X4 MT DX AÑO 2018,CAMIONETA,TOYOTA,HILUX 2.4 4X4 MT DX,1,69.252.500-0,Dirección de Obras,2018-09-06,Antofagasta,Ilustre Municipalidad de San Pedro de Atacama,Municipalidades,2018,9
92.909.000-4,CURIFOR S.A.,2239-4-LR17,2905-713-CM18,No,1536975,SUV MAHINDRA NEW MAHINDRA SCORPIO SUV  4X2 AÑO 2018,SUV,MAHINDRA,NEW MAHINDRA SCORPIO SUV  4X2,1,69.200.300-4,Administración y Finanzas,2018-09-07,Los Rios,Ilustre Municipalidad de Lanco,Municipalidades,2018,9
77.008.670-1,PORTILLO S.A.,2239-4-LR17,2341-2326-CM18,No,1537055,SEDÁN TOYOTA NUEVO YARIS SEDAN GLI MT      AÑO 2018,SEDÁN,TOYOTA,NUEVO YARIS SEDAN GLI MT,1,69.072.700-5,OFICINA DE ADQUISICIONES,2018-09-10,Metropolitana,I MUNICIPALIDAD DE SAN BERNARDO,Municipalidades,2018,9
79.853.470-K,AUTOMOTRIZ CORDILLERA S.A.,2239-4-LR17,4477-448-CM18,No,1538613,CAMIONETA MITSUBISHI L200 4X4 KATANA CRM 4X4 AÑO 2018,CAMIONETA,MITSUBISHI,L200 4X4 KATANA CRM 4X4,1,69.160.601-5,Educación,2018-09-11,Biobio,Ilustre Municipalidad de Contulmo,Municipalidades,2018,9
91.502.000-3,SALINAS Y FABRES SOCIEDAD ANONIMA,2239-4-LR17,3160-213-CM18,No,1538626,SEDÁN TOYOTA COROLLA XLI CVT AÑO 2018,SEDÁN,TOYOTA,COROLLA XLI CVT,1,61.102.003-1,DIRECCION GENERAL DE LOS SERVICIOS DE LA ARMADA (AB),2018-09-12,Valparaiso,DIRECCION GENERAL DE LOS SERVICIOS DE LA ARMADA,FFAA,2018,9
76.245.828-4,PORSCHE CHILE SPA.,2239-4-LR17,575437-16-CM18,No,1537083,HATCHBACK VOLKSWAGEN GOL POWER 1.6 2AB AA AÑO 2018,SEDÁN,VOLKSWAGEN,GOL POWER 1.6 2AB AA,1,60.805.312-3,Bienestar,2018-09-13,Metropolitana,Tesorería General de la República,"Gob. Central, Universidades",2018,9
96.928.530-4,COMERCIAL AUTOMOTRIZ SPA,2239-4-LR17,1395-1075-CM18,No,1538644,SUV MITSUBISHI MONTERO SPORT 2.4 DIESEL 4X4 MT AÑO 2018,SUV,MITSUBISHI,MONTERO SPORT 2.4 DIESEL 4X4 MT,1,61.606.400-2,Servicio de Salud Coquimbo,2018-09-25,Coquimbo,Servicio de Salud Coquimbo,Salud,2018,9
96.889.440-4,Mediterraneo Automotores S.A.,2239-4-LR17,3756-345-CM18,No,1537095,SUV VOLKSWAGEN TIGUAN TDI AT LIMITED 4M 150HP AÑO 2018,SUV,VOLKSWAGEN,TIGUAN TDI AT LIMITED 4M 150HP,1,69.110.600-4,Central,2018-09-14,Maule,I MUNICIPALIDAD DE PELARCO,Municipalidades,2018,9
96.889.440-4,Mediterraneo Automotores S.A.,2239-4-LR17,624-339-CM18,No,1538628,CAMIONETA TOYOTA HILUX 2.4 4X4 MT DX AÑO 2018,CAMIONETA,TOYOTA,HILUX 2.4 4X4 MT DX,2,72.225.700-6,Compra Regional,2018-09-20,Coquimbo,GOBIERNO REGIONAL IV REGION COQUIMBO,"Gob. Central, Universidades",2018,9
76.281.300-9,AUTOMOTORA MELHUISH SPA,2239-4-LR17,4252-546-CM18,No,1538481,CAMIONETA CHEVROLET NEW DMAX CC 2.5TD 4WD AÑO 2018,CAMIONETA,CHEVROLET,NEW DMAX CC 2.5TD 4WD,1,69.140.700-4,DAF,2018-09-21,Nuble,ILUSTRE MUNICIPALIDAD DE SAN FABIAN,Municipalidades,2018,9
91.502.000-3,SALINAS Y FABRES SOCIEDAD ANONIMA,2239-4-LR17,3160-220-CM18,No,1538481,CAMIONETA CHEVROLET NEW DMAX CC 2.5TD 4WD AÑO 2018,CAMIONETA,CHEVROLET,NEW DMAX CC 2.5TD 4WD,1,61.102.003-1,DIRECCION GENERAL DE LOS SERVICIOS DE LA ARMADA (AB),2018-09-25,Valparaiso,DIRECCION GENERAL DE LOS SERVICIOS DE LA ARMADA,FFAA,2018,9
96.889.440-4,Mediterraneo Automotores S.A.,2239-4-LR17,3326-2048-CM18,No,1536876,SEDÁN HYUNDAI ACCENT RB SDN  1.4 6M/T GL 2AB AC AÑO 2018,SEDÁN,HYUNDAI,ACCENT RB SDN  1.4 6M/T GL 2AB AC,6,61.938.500-4,Depto.Transportes L.3,2018-09-28,Metropolitana,DIRECCION DE LOGISTICA DE CARABINEROS,FFAA,2018,9
77.008.670-1,PORTILLO S.A.,2239-4-LR17,4388-222-CM18,No,1537062,SUV TOYOTA RAV4 LUJO 2.0 4X4 MT AÑO 2018,SUV,TOYOTA,RAV4 LUJO 2.0 4X4 MT,1,60.511.000-2,Serv. de Gobierno Interior - Nivel Central,2018-09-28,Metropolitana,SUBSECRETARIA DEL INTERIOR,"Gob. Central, Universidades",2018,9
94.141.000-6,DERCO S.P.A,2239-4-LR17,2929-518-CM18,No,1538733,SUV SUZUKI JIMNY 1.3 JLX AB SPORT AC AÑO 2018,SUV,SUZUKI,JIMNY 1.3 JLX AB SPORT AC,1,69.231.300-3,DAF,2018-09-25,Los Lagos,I MUNICIPALIDAD DE PALENA,Municipalidades,2018,9
81.318.700-0,POMPEYO CARRASCO Y CIA LTDA,2239-4-LR17,2831-34-CM18,No,1538511,CAMIONETA NISSAN NP300 DC XE 2.3D MT 4WD AÑO 2018,CAMIONETA,NISSAN,NP300 DC XE 2.3D MT 4WD,1,69.060.100-1,SECRETARIA COMUNAL DE PLANIFICACION,2018-09-26,Valparaiso,I MUNICIPALIDAD DE QUILLOTA,Municipalidades,2018,9
86.385.500-4,COMERCIAL ANFRUNS Y COMPANIA SPA,2239-4-LR17,609-972-CM18,Sí,1538865,"SUV RENAULT DUSTER ZEN TECH 2,0L 6MT 4X4 AÑO 2018",SUV,RENAULT,"DUSTER ZEN TECH 2,0L 6MT 4X4",5,61.307.000-1,Instituto de Desarrollo Agropecuario - INDAP,2018-09-26,Metropolitana,Instituto de Desarrollo Agropecuario - INDAP,"Gob. Central, Universidades",2018,9
81.318.700-0,POMPEYO CARRASCO Y CIA LTDA,2239-4-LR17,1495-790-CM18,No,1538685,FURGÓN NISSAN NV350 S-LONG CARGO AÑO 2018,FURGÓN,NISSAN,NV350 S-LONG CARGO,1,61.608.400-3,Servicio de Salud Metropolitano Oriente,2018-09-27,Metropolitana,DIRECCION SERVICIO SALUD METROPOLITANO O,Salud,2018,9
79.853.470-K,AUTOMOTRIZ CORDILLERA S.A.,2239-4-LR17,3588-471-CM18,No,1538614,CAMIONETA MITSUBISHI L200 4X4 KATANA CRT AÑO 2018,CAMIONETA,MITSUBISHI,L200 4X4 KATANA CRT,1,69.141.500-7,Direccion Administración y Finanzas,2018-09-27,Nuble,I MUNICIPALIDAD DE YUNGAY,Municipalidades,2018,9
96.889.440-4,Mediterraneo Automotores S.A.,2239-4-LR17,5251-1982-CM18,No,1538623,SEDÁN TOYOTA CAMRY HYBRID AÑO 2018,SEDÁN,TOYOTA,CAMRY HYBRID,1,70.729.100-1,DEPARTAMENTO DE ABASTECIMIENTO,2018-09-27,Valparaiso,UNIVERSIDAD TECNOLOGICA METROPOLITANA,"Gob. Central, Universidades",2018,9
96.642.160-6,PIAMONTE S A,2239-4-LR17,218-857-CM18,No,1538611,CAMIONETA MITSUBISHI L200 4X2 WORK CR WF AÑO 2018,CAMIONETA,MITSUBISHI,L200 4X2 WORK CR WF,1,69.254.600-8,Ilustre Municipalidad de San Joaquin,2018-09-28,Metropolitana,Ilustre Municipalidad de San Joaquin,Municipalidades,2018,9
94.141.000-6,DERCO S.P.A,2239-4-LR17,3153-526-CM18,No,1536943,CAMIONETA JAC T6 DIESEL 4X4 LUXURY AÑO 2018,CAMIONETA,JAC,T6 DIESEL 4X4 LUXURY,1,69.180.500-k,Departamento Adquisiciones,2018-09-28,Araucania,Ilustre Municipalidad de Collipulli,Municipalidades,2018,9
79.649.140-k,AUTOMOTORES GILDEMEISTER SPA,2239-4-LR17,2490-240-SE18,No,1536892,SEDÁN HYUNDAI GRAND I-10 BA SDN  MT GLS 2AB AC ABS PE AÑO 2018,SEDÁN,HYUNDAI,GRAND I-10 BA SDN  MT GLS 2AB AC ABS PE,6,69.070.300-9,Dirección de Secpla,2018-09-28,Metropolitana,Municipalidad de Providencia,Municipalidades,2018,9
79.649.140-k,AUTOMOTORES GILDEMEISTER SPA,2239-4-LR17,5240-340-CM18,Sí,1536884,SEDÁN HYUNDAI ELANTRA AD  1.6 AT PREMIUM AÑO 2018,SEDÁN,HYUNDAI,ELANTRA AD  1.6 AT PREMIUM,5,61.938.500-4,Direccion de Compras Publicas de Carabineros,2018-10-11,Metropolitana,DIRECCION DE LOGISTICA DE CARABINEROS,FFAA,2018,10
79.649.140-k,AUTOMOTORES GILDEMEISTER SPA,2239-4-LR17,5240-345-CM18,Sí,1536914,SUV HYUNDAI SANTA FE DM  WGN 2.4 6A/T 4WD GLS FULL PE AÑO 2018,SUV,HYUNDAI,SANTA FE DM  WGN 2.4 6A/T 4WD GLS FULL PE,4,61.938.500-4,Direccion de Compras Publicas de Carabineros,2018-10-16,Metropolitana,DIRECCION DE LOGISTICA DE CARABINEROS,FFAA,2018,10
79.649.140-k,AUTOMOTORES GILDEMEISTER SPA,2239-4-LR17,5240-346-CM18,Sí,1536886,SEDÁN HYUNDAI ELANTRA AD  1.6 MT VALUE AÑO 2018,SEDÁN,HYUNDAI,ELANTRA AD  1.6 MT VALUE,50,61.938.500-4,Direccion de Compras Publicas de Carabineros,2018-10-16,Metropolitana,DIRECCION DE LOGISTICA DE CARABINEROS,FFAA,2018,10
84.807.200-1,BRUNO FRITSCH S.A.,2239-4-LR17,3276-400-CM18,Sí,1537028,SUV TOYOTA 4RUNNER 4X2 LIMITED AÑO 2018,SUV,TOYOTA,4RUNNER 4X2 LIMITED,4,60.506.000-5,LOGISTICA LA SERENA,2018-10-09,Coquimbo,Policía de Investigaciones de Chile,FFAA,2018,10
84.807.200-1,BRUNO FRITSCH S.A.,2239-4-LR17,3276-400-CM18,Sí,1537030,SUV TOYOTA 4RUNNER 4X4 LIMITED  AÑO 2018,SUV,TOYOTA,4RUNNER 4X4 LIMITED,17,60.506.000-5,LOGISTICA LA SERENA,2018-10-09,Coquimbo,Policía de Investigaciones de Chile,FFAA,2018,10
94.141.000-6,DERCO S.P.A,2239-4-LR17,2324-4052-CM18,No,1538876,CAMIONETA RENAULT OROCH ZEN 1.6 L AÑO 2018,CAMIONETA,RENAULT,OROCH ZEN 1.6 L,3,69.220.100-0,Departamento de Licitaciones y gestión de Abastecimiento,2018-10-04,Los Lagos,Municipalidad de Puerto Montt,Municipalidades,2018,10
92.909.000-4,CURIFOR S.A.,2239-4-LR17,2273-2457-CM18,No,1536816,CAMIONETA FORD RANGER XLT 4X4 DIESEL AÑO 2018,CAMIONETA,FORD,RANGER XLT 4X4 DIESEL,1,69.253.800-5,DEPARTAMENTO ADQUISICIONES MUNICIPAL,2018-10-08,Metropolitana,I. MUNICIPALIDAD DE LA PINTANA,Municipalidades,2018,10
91.502.000-3,SALINAS Y FABRES SOCIEDAD ANONIMA,2239-4-LR17,998782-128-CM18,No,1537045,CAMIONETA TOYOTA HILUX 2.4 4X2 MT DX (WIDE) AÑO 2018,CAMIONETA,TOYOTA,HILUX 2.4 4X2 MT DX (WIDE),1,69.080.800-5,Administracion Municipal,2018-10-02,Ohiggins,Ilustre Municipalidad de Las Cabras,Municipalidades,2018,10
79.853.470-K,AUTOMOTRIZ CORDILLERA S.A.,2239-4-LR17,4499-337-CM18,No,1538508,CAMIONETA NISSAN NP300 DC SE 2.3D MT AÑO 2018,CAMIONETA,NISSAN,NP300 DC SE 2.3D MT,1,69.073.100-2,Salud,2018-10-04,Metropolitana,I MUNICIPALIDAD DE SAN PEDRO,Municipalidades,2018,10
79.649.140-k,AUTOMOTORES GILDEMEISTER SPA,2239-4-LR17,3735-39-CM18,No,1553521,CAMIONETA MAHINDRA PICK UP REFRESH DC 4X2 MT FULL 2018,CAMIONETA,MAHINDRA,PICK UP REFRESH DC 4X2 MT FULL,1,69.170.300-2,Secplan,2018-10-01,Biobio,I MUNICIPALIDAD DE LAJA,Municipalidades,2018,10
96.889.440-4,Mediterraneo Automotores S.A.,2239-4-LR17,85-901-CM18,No,1537055,SEDÁN TOYOTA NUEVO YARIS SEDAN GLI MT      AÑO 2018,SEDÁN,TOYOTA,NUEVO YARIS SEDAN GLI MT,1,60.908.000-0,JUNTA NACIONAL DE AUXILIO ESCOLAR Y BECA,2018-10-02,Metropolitana,JUNTA NACIONAL DE AUXILIO ESCOLAR Y BECA,"Gob. Central, Universidades",2018,10
80.522.900-4,KOVACS SPA,2239-4-LR17,2585-1399-CM18,Sí,1538481,CAMIONETA CHEVROLET NEW DMAX CC 2.5TD 4WD AÑO 2018,CAMIONETA,CHEVROLET,NEW DMAX CC 2.5TD 4WD,9,69.010.100-9,FINANZAS IMA,2018-10-11,Arica Y Parinacota,I MUNICIPALIDAD DE ARICA,Municipalidades,2018,10
77.008.670-1,PORTILLO S.A.,2239-4-LR17,3820-825-CM18,No,1537059,SUV TOYOTA RAV4 LIMITED 2.5 4X4 AT AÑO 2018,SUV,TOYOTA,RAV4 LIMITED 2.5 4X4 AT,1,69.051.000-6,Adquisiones Municipales,2018-10-02,Valparaiso,I MUNICIPALIDAD DE SANTA MARIA,Municipalidades,2018,10
86.385.500-4,COMERCIAL ANFRUNS Y COMPANIA SPA,2239-4-LR17,708-1529-CM18,No,1538849,SEDÁN MAZDA NEW MAZDA6 V 2.0 6MT AÑO 2018,SEDÁN,MAZDA,NEW MAZDA6 V 2.0 6MT,1,70.020.190-2,Subdepartamento de Compras y Contrataciones,2018-10-03,Metropolitana,Dirección de Relaciones Económicas,"Gob. Central, Universidades",2018,10
76.245.828-4,PORSCHE CHILE SPA.,2239-4-LR17,5240-361-CM18,Sí,1537078,CAMIONETA VOLKSWAGEN AMAROK TRENDLINE 4MOTION AÑO 2018,CAMIONETA,VOLKSWAGEN,AMAROK TRENDLINE 4MOTION,10,61.938.500-4,Direccion de Compras Publicas de Carabineros,2018-10-11,Metropolitana,DIRECCION DE LOGISTICA DE CARABINEROS,FFAA,2018,10
79.853.470-K,AUTOMOTRIZ CORDILLERA S.A.,2239-4-LR17,4322-480-CM18,No,1538611,CAMIONETA MITSUBISHI L200 4X2 WORK CR WF AÑO 2018,CAMIONETA,MITSUBISHI,L200 4X2 WORK CR WF,3,69.190.300-1,Adquisiciones,2018-10-04,Araucania,Ilustre Municipalidad de Perquenco,Municipalidades,2018,10
84.807.200-1,BRUNO FRITSCH S.A.,2239-4-LR17,858-1135-CM18,No,1538524,SEDÁN PEUGEOT 301 ALLURE 1.6 HDI 92HP AÑO 2018,SEDÁN,PEUGEOT,301 ALLURE 1.6 HDI 92HP,1,61.107.000-4,Nivel Central,2018-10-18,Metropolitana,Instituto Nacional de Deportes de Chile,"Gob. Central, Universidades",2018,10
96.918.300-5,DIFOR CHILE SOCIEDAD ANONIMA,2239-4-LR17,2785-1444-CM18,No,1538510,CAMIONETA NISSAN NP300 DC SE 2.3D MT 4WD AÑO 2018,CAMIONETA,NISSAN,NP300 DC SE 2.3D MT 4WD,2,69.264.800-5,MUNICIPALIDAD DE SAN PEDRO DE LA PAZ,2018-10-08,Biobio,I MUNICIPALIDAD DE SAN PEDRO DE LA PAZ,Municipalidades,2018,10
79.853.470-K,AUTOMOTRIZ CORDILLERA S.A.,2239-4-LR17,5300-112-CM18,Sí,1538511,CAMIONETA NISSAN NP300 DC XE 2.3D MT 4WD AÑO 2018,CAMIONETA,NISSAN,NP300 DC XE 2.3D MT 4WD,2,69.061.400-6,DIPLAD,2018-10-24,Valparaiso,I MUNICIPALIDAD DE CASABLANCA,Municipalidades,2018,10
79.853.470-K,AUTOMOTRIZ CORDILLERA S.A.,2239-4-LR17,5300-112-CM18,Sí,1538512,CAMIONETA NISSAN NP300 DC LE 2.3D MT 4WD AÑO 2018,CAMIONETA,NISSAN,NP300 DC LE 2.3D MT 4WD,1,69.061.400-6,DIPLAD,2018-10-24,Valparaiso,I MUNICIPALIDAD DE CASABLANCA,Municipalidades,2018,10
94.141.000-6,DERCO S.P.A,2239-4-LR17,2429-2480-CM18,No,1538793,CAMIONETA MAZDA BT-50 DOBLE CABINA 2.2 SDX 6MT 4X4 DIESEL AÑO 2018,CAMIONETA,MAZDA,BT-50 DOBLE CABINA 2.2 SDX 6MT 4X4 DIESEL,2,69.020.300-6,I MUNICIPALIDAD DE ANTOFAGASTA - FINANZAS,2018-10-09,Antofagasta,I MUNICIPALIDAD DE ANTOFAGASTA,Municipalidades,2018,10
79.853.470-K,AUTOMOTRIZ CORDILLERA S.A.,2239-4-LR17,3326-2131-CM18,No,1538513,CAMIONETA NISSAN NP300 DC LE 2.3D AT 4WD AÑO 2018,CAMIONETA,NISSAN,NP300 DC LE 2.3D AT 4WD,1,61.938.500-4,Depto.Transportes L.3,2018-10-18,Metropolitana,DIRECCION DE LOGISTICA DE CARABINEROS,FFAA,2018,10
76.306.357-7,AUTOMOTORA MELHUISH RETAIL SPA,2239-4-LR17,2381-1318-CM18,No,1536819,CAMIONETA FOTON FT 500 SUPER LUX 4X4 AÑO 2018,CAMIONETA,FOTON,FT 500 SUPER LUX 4X4,1,69.030.200-4,DEPARTAMENTO DE ADQUISICIONES DASM,2018-10-10,Atacama,I MUNICIPALIDAD DE COPIAPO,Municipalidades,2018,10
